timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,min_atr,n_trades,trades_per_year,sharpe_px,max_dd_px,profit_factor_px,win_rate,expectancy_px,sharpe_acct,max_dd_acct,profit_factor_acct,total_return_acct,cagr_acct,equity_final
M5,5,5.0,none,0,both,0.0,7663,580.3256790379432,-1.0799823229076788,0.9085519223435653,0.8681494545937908,0.30862586454391233,-0.0002537195833637224,-0.5713554298374304,1.000129828935364,0.42975469103610714,-0.9999999324782779,-0.7136036374140609,-907.1673947839146
M5,5,5.0,none,0,both,1.0,5075,274.2076553254438,-1.1164658739890936,0.9082620101200826,0.8190995481388071,0.33970443349753693,-0.00042745475317928735,-0.2902933159255748,1.0013797357698193,0.2277935664881284,-1.000014620329827,,-594.7023450793089
M5,5,5.0,none,0,long,0.0,8609,528.565683308119,-0.8960278507169459,0.8738120393527828,0.885283302424049,0.3236148216982228,-0.00020238856375922852,0.0008966372300493858,1.0003444024816293,1.0008480448426886,-1.0004037639295262,,-1871.3817128894664
M5,5,5.0,none,0,long,1.0,4995,231.43774578206268,-0.4871017260247824,0.7954523885666773,0.9092390567798251,0.360960960960961,-0.00019599551249363626,0.16183439492473278,0.998015240623512,1.053094181585818,-0.8565993218175685,-0.08605567144020243,1434.0067818243183
M5,5,5.0,none,0,short,0.0,5808,548.0165331955567,-1.5435717402933093,0.9033295615145883,0.8089649702028074,0.28615702479338845,-0.00038458137381438607,-0.4769181657827446,1.0003864747773978,0.24119710158363658,-1.0001103744682986,,-249.53452172911278
M5,5,5.0,none,0,short,1.0,4667,227.22230738469742,-1.141279782159063,0.9004442738193351,0.7979526321175326,0.31990572101992715,-0.00047314277710621175,-0.2713793414410221,1.0005911980295024,0.7960998414037868,-0.9999980624643858,-0.4729361501805821,-165.56689705537534
M5,5,5.0,H1,20,both,0.0,5752,269.65960723912207,-1.1009281357744334,0.8937992932674749,0.8037674648687715,0.29694019471488176,-0.0003690509310644837,-0.2587516112474883,1.0005993940478732,0.16561342267340942,-0.999991449386845,-0.42136209517327916,-578.6462967694013
M5,5,5.0,H1,20,both,1.0,2642,123.43188795088258,-1.002122326896516,0.8423404595956429,0.7513762134451749,0.32778198334595005,-0.0006143290288740729,0.18954152199807628,0.999741615857406,2.2597881576851844,-0.9841677788678884,-0.17608160721459687,158.32221132111403
M5,5,5.0,H1,20,long,0.0,3513,162.5029445288754,-0.47732975399546346,0.6251413879487903,0.8904856088669979,0.318246512951893,-0.0001915295504991584,-0.2173972721050712,0.7889642645861081,0.943793840937291,-0.5904419166621365,-0.04045212933064257,4095.5808333787822
M5,5,5.0,H1,20,long,1.0,1476,69.25860739979446,-0.4936469606194529,0.5759929885978288,0.838760326771624,0.3509485094850949,-0.00036738119118217053,-0.2874608382654525,0.6749961924988706,0.898030365685242,-0.46288264305347004,-0.02874338652512365,5371.173569465251
M5,5,5.0,H1,20,short,0.0,3337,154.34206027605418,-1.0611787708238947,0.8249244147448459,0.7471335195229845,0.2837878333832784,-0.0004971847179383418,0.03316134931308563,0.9980461145364838,1.0599048902948018,-0.9874124856567322,-0.18319400677362452,125.87514343267867
M5,5,5.0,H1,20,short,1.0,1458,68.11646201074444,-0.9498104869208022,0.740434898979228,0.6802888405488811,0.3052126200274348,-0.0008543754702969857,-0.7022803934511697,0.9326518306726754,0.6419655160435318,-0.9199027783464935,-0.11125333633180412,800.9722165350622
M5,5,5.0,H1,32,both,0.0,6545,302.71764594149676,-0.22615480758978854,0.718487895493335,0.9573099258417564,0.32085561497326204,-7.625338114789798e-05,-0.3715702598710103,1.0160700202659523,0.7653136851244334,-0.9708287398813328,-0.15081658268412468,425.85518221448854
M5,5,5.0,H1,32,both,1.0,2960,137.13089802130898,-0.440265244885744,0.7298106713915398,0.8843003980100795,0.3402027027027027,-0.0002709215220274694,0.05460623339039072,0.9899691281787862,1.0413067139966647,-0.9155657014569992,-0.10819939826326497,844.3429854300018
M5,5,5.0,H1,32,long,0.0,3833,177.3278340721976,-0.1225860010416061,0.5674744598814196,0.9717288596047672,0.33133315940516567,-4.7858179327180636e-05,-0.19227066045871508,0.8284225735572259,0.9482482882923978,-0.4873106259585577,-0.030435161342393213,5126.893740414397
