n,ic,ic_p,spread_usd_per_oz,spread_atr,nw_t,monotonicity,net_usd_per_oz,pays_costs,decile_means_usd,timeframe,feature,horizon,fdr_significant,skipped
1443448,-0.020893119525996824,4.4457535282127665e-139,-0.022968997887007354,0.004996778258241718,-4.648845928777643,-0.17575757575757575,-0.3129689978870074,False,"[0.015117184523191137, 0.002615054210398471, 0.0025229138522293343, 0.0022722108296843084, -0.0015324782976498092, 0.008555931661292307, 0.003100440614088778, 0.0036135647234054324, 0.004975025113443161, -0.00785181336381622]",M5,ret_1,1,True,
1443446,-0.028873847228913254,8.66668467848725e-264,-0.0263047559666078,-0.008413184550401579,-4.799304718960923,-0.6727272727272726,-0.31630475596660784,False,"[0.019894419619661274, 0.008078284665211606, 0.0015257994790225436, -0.0020833419931423863, 0.0035144716120495707, 0.0033830080118791503, 0.0026004544698776063, 0.003467110048841641, -0.0028172282879792253, -0.006410336346946528]",M5,ret_3,1,True,
1443443,-0.02848220489211829,9.79303216337173e-257,-0.0232129273615297,-0.00694313970276093,-4.152723992027795,-0.28484848484848485,-0.3132129273615297,False,"[0.021362499567009714, 0.0033604444937096398, -0.00641723937260981, -0.0010335032976780513, 0.004472141934280799, 0.0007363482152523483, 0.0066933159674109595, 0.0020025771767447596, 0.0016933159674110522, -0.0018504277945199869]",M5,ret_6,1,True,
1443437,-0.026621782647167247,1.5076976318453301e-224,-0.01689373995455296,-0.010195450178761513,-2.683934169001217,-0.01818181818181818,-0.306893739954553,False,"[0.021694493709471845, 0.0038510779803801517, -0.0027109038886536326, -0.00607015185944699, -0.0010680042121599925, 0.005421807777308047, 0.0034931829518370823, 0.0023606271173526013, -0.000604943745496954, 0.004800753754918886]",M5,ret_12,1,True,
1443425,-0.02461857042412365,2.557958781514433e-192,-0.018330781541190035,-0.01438257663106925,-2.9156758456648224,-0.5393939393939393,-0.3083307815411901,False,"[0.01926764720145761, 0.004699879452965828, -0.0018521854194520797, 0.0019401837303071553, 0.003030420595387188, 0.0021826633966553276, -0.001200551468040998, 0.001268506266323633, 0.0009002923611977814, 0.0009368656602675738]",M5,ret_24,1,True,
1443449,-0.01079578025349436,1.7913159661272162e-38,0.004660847275624384,0.0020417992574847076,1.0188100386819514,0.7212121212121211,-0.28533915272437566,False,"[-0.00025383629498772935, 0.003961550452041952, -0.001379334233953222, -0.00297287748103519, 0.0014596279746443086, 0.0030579726209608534, 0.007325504866812002, 0.006303370397312191, 0.009255256503515882, 0.004407010980636655]",M5,intraday_ret,1,True,
1409255,-0.01947239902050835,3.0341063918448483e-118,-0.0036208698221500604,0.017634456351246282,-0.8951933594493141,-0.7333333333333332,-0.2936208698221501,False,"[0.002649721843778547, 0.013133772334416866, 0.006042352277932184, 0.002230928011770862, 0.0010374215354897623, 0.004929611132454954, 0.0018212794717095513, 0.0026485123550171593, -0.001667435571675505, -0.0009711479783715133]",M5,body_ratio,1,True,
1409255,-0.0012604537635903205,0.13457296179071476,-0.010186005964188904,-0.013779121200398708,-3.3289754645567897,0.06666666666666667,-0.30018600596418893,False,"[0.004275627902686263, -0.00020762375113590542, 0.007163730246546037, 0.002842570457753075, 0.00011767212299808933, 0.005370905143360264, 0.004596414783694863, 0.008676746033998314, -0.005910378061502641]",M5,upper_wick,1,False,
1409255,0.0019471002608729656,0.020808414209750187,0.007084758810500739,0.012441432059765271,1.426130296979051,0.049999999999999996,-0.2829152411894993,False,"[0.0008005364346256375, 0.003994536294614825, 0.003311768461374631, 0.006343178820093697, 0.0019618834080719068, 0.00500344081444426, 0.0004025183124184623, 0.0006797225217040837, 0.007885295245126376]",M5,lower_wick,1,True,
1409255,-0.01449551311886614,2.280740436247938e-66,0.014540912316010266,0.04243559412277246,2.840783347203133,-0.12727272727272726,-0.27545908768398975,False,"[-0.004702418954387164, 0.012987359560529951, 0.007667579727217747, 0.006024169913212862, 0.0002657200098418172, 0.0024329221997786937, 0.0032894503388807487, 0.0013045853852370845, -0.007874446525885608, 0.009838493361623103]",M5,close_pos,1,True,
1443354,-0.010005240511901135,2.7710986648476507e-33,-0.013336104644718443,-0.010028951077161556,-2.0256954729670418,-0.1515151515151515,-0.3033361046447185,False,"[0.018211257066844483, 0.0006572210482558463, 0.0019666747497139652, -0.000838183128256204, 0.0022661098171495556, 0.005178352387027123, 0.001546045338654288, -0.0033327328783729652, 0.0014924308033393582, 0.0048751524221260405]",M5,signed_vol,1,True,
1443354,0.0006199148429694111,0.45641496671186227,-0.012178601113595595,-0.010586176977746053,-1.9415842491317465,-0.09090909090909088,-0.3021786011135956,False,"[0.019429668068478755, 0.0005472722989731555, -0.0010730592025499344, -0.0005960397960315429, 0.004420687982818037, 0.00375134236325193, -0.00031925507149972927, 0.0009451622960474639, -0.0031907714691516652, 0.007251066954883159]",M5,vol_z,1,False,
1443449,0.0011479368336092836,0.1678416812105856,-0.005402057570404279,-0.008599784390639352,-0.7360451870612659,-0.34545454545454546,-0.29540205757040433,False,"[0.006232983477086205, 0.00199736741833805, 0.0028829540337385246, 0.0031897883542899843, 0.00279559388963952, 0.00349962589369837, 0.005170390384149082, 0.005274308081332979, -0.0007096885933008682, 0.0008309259066819257]",M5,atr_pct,1,False,
1443354,-0.001332712472139619,0.10935130139169394,0.004865799246203348,-0.005917766786022142,0.9996093095379964,-0.2727272727272727,-0.2851342007537967,False,"[0.006570155747699792, 0.008718952437038784, 0.002682994422697214, 0.00524789380334782, -0.0008963175944850127, 0.0012410711192710408, 0.0002097189890255808, -0.005845221186822383, 0.0018010184639901197, 0.01143595499390314]",M5,atr_ratio,1,False,
1290565,0.0014140238086100168,0.10819192764826273,0.001572420124934202,0.0007774778679720306,0.30174629729441427,0.18787878787878787,-0.28842757987506584,False,"[0.0018240635993116163, 0.005662546976096086, 0.0023280410981190575, -0.0007650167369201139, 0.0022725863939254136, 0.006476126272723411, 0.0065323311766298025, 0.0030904174124610955, 0.0016302225390525799, 0.0033964837242458183]",M5,range_expansion,1,False,
1443342,-0.0004652918637750524,0.5761635450527147,0.000643295112065503,-0.00829163509518899,0.1338896651085894,-0.06666666666666665,-0.2893567048879345,False,"[0.007888523227214544, 0.0017233638643700407, 0.004120581429185001, -0.0009543142987792461, 0.008918342178558084, 0.0018541022905207369, -0.005059376169163235, 0.003815247966522202, 0.0003316612856291787, 0.008531818339280047]",M5,rv_ratio,1,False,
1443449,-0.01743336402673797,2.0130967516781063e-97,-0.0017195607745332199,-0.008044325444727073,-0.36918080781288387,0.04242424242424241,-0.29171956077453326,False,"[0.004871592365513219, 0.007063978662232939, 0.0017157504589696056, -0.0031584744882051778, -0.0017578024870972618, 0.002179169206895127, 0.00480674772247026, 0.008617271121272032, 0.0036739755447018226, 0.003152031590979999]",M5,dist_vwap,1,True,
1443347,-0.008273541504459548,2.7898743622235746e-23,0.00414313922472018,0.0017452752841124472,1.0889293899951404,0.4424242424242424,-0.28585686077527983,False,"[0.0031934042332074832, 0.0017649218831190475, 0.0026346529577231685, -0.0023101118924725907, 0.0010122977794716178, 0.009252636246483776, -0.006166903384487468, 0.003372801973200991, 0.011074860567430065, 0.007336543457927663]",M5,dist_pdh,1,True,
1443347,-0.006924696357718677,8.842491382881314e-17,0.00903384487477038,0.007824724218462493,2.152649262438918,0.8424242424242423,-0.28096615512522966,False,"[-0.0025672220875046655, -0.00027200609692737377, 0.0018453032549503123, 0.005272664287941249, 0.000280389371947113, 0.003943838596588505, 0.004320573665431113, 0.0050764199703466255, 0.006798489624831132, 0.006466622787265714]",M5,dist_pdl,1,True,
1443262,0.0027850352903416365,0.0008203693457236593,0.013550946367957704,0.009558914205905069,3.015144660381831,0.7575757575757575,-0.2764490536320423,False,"[-0.00064088795892821, 0.0021441233087289985, -0.0015200615679013614, 0.0032198856746922275, -0.006399955655945535, 0.0024173243076581518, 0.004937225447944462, 0.0024352833688637476, 0.0116740998661336, 0.012910058409029495]",M5,efficiency_ratio,1,True,
1443449,-0.024209890985814244,4.682514127627346e-186,-0.025013414705654068,-0.013004399439015948,-6.152382666017793,-0.7500000000000002,-0.3150134147056541,False,"[0.013602730970181163, -0.00201885080672944, 0.001397305230071895, 0.00602607080474028, 0.0012632757367591933, -0.009816829706527554, -0.011410683735472906]",M5,streak,1,True,
1443449,-0.00019443129051462913,0.8152981711153442,0.0034668282064201318,-0.002837634878511599,-0.32401660645232366,0.34545454545454546,-0.2865331717935799,False,"[0.007708748202971099, -0.0009034683964926491, 0.0027147723463795386, -0.003181100078214436, 0.0004715555521113521, -0.0049161206765199585, 0.0026501438640827344, 0.0010547562853823942, 0.019453863479170823, 0.01117557640939123]",M5,hour,1,False,
1443449,,,,,,,,,,M5,dow,1,,insufficient data
1443446,-0.022973781964935807,9.657660408681282e-168,-0.038225016453635664,-0.007828963176509145,-3.90632544780258,-0.9030303030303028,-0.3282250164536357,False,"[0.027236343482628107, 0.018798018635907177, 0.017381602283433932, 0.020291593058297492, 0.007437107186046984, 0.018381960979424492, -0.0008012109959539799, 0.0029640791160068817, -0.005065745718561062, -0.010988672971007559]",M5,ret_1,3,True,
1443444,-0.03182651535039417,0.0,-0.03240340850046803,-0.01451744183430763,-2.7907124033960273,-0.8303030303030302,-0.32240340850046806,False,"[0.03545851951920752, 0.02026769384248742, 0.009738125588871417, 0.009937025875506284, 0.010998117706111518, 0.01265281343768378, 0.004869098340781048, -0.012268192650889702, -0.0013097184503689796, 0.0030551110187394875]",M5,ret_3,3,True,
1443441,-0.03182770185421157,0.0,-0.030332697080054732,-0.01343911738647025,-2.4212331882502474,-0.18787878787878787,-0.32033269708005474,False,"[0.037172676573487044, 0.008841586764950381, -0.002404256498364931, 0.0017515795599402, 0.013123926102534822, 0.006210316600979254, 0.013835905891481107, 0.004188189325500435, 0.0033916200188434803, 0.00683997949343231]",M5,ret_6,3,True,
1443435,-0.03174764626141279,0.0,-0.03456354264811789,-0.03199603629720548,-2.1079757135422827,-0.06666666666666665,-0.32456354264811793,False,"[0.04589037299783822, 0.009689905295026847, -0.0011241894363457564, -0.004068572774571925, 0.002288422102754435, 0.01148292608578161, 0.009371150661964724, 0.009346006761624828, -0.0009705354606737643, 0.011326830349720332]",M5,ret_12,3,True,
1443423,-0.03135362793173062,1.12704149144075e-310,-0.04403455657704205,-0.04581940998736149,-2.639701687109214,-0.38181818181818183,-0.33403455657704206,False,"[0.046273875421738324, 0.009613418131936695, 0.0019130260076764241, -0.00188295852904907, 0.010229869131166877, 0.007505369192611967, 0.006644427817267049, 0.006200551468040877, 0.0045079048371233655, 0.002239318844696277]",M5,ret_24,3,True,
1443447,-0.013989176417021895,2.1360740017846042e-63,0.018293879247635883,0.0064985730543181235,1.4723594743632837,0.8060606060606059,-0.27170612075236417,False,"[-0.004650871176694772, 0.007852713983858034, -0.0012947541983040112, -0.005181128546191501, 0.0010388998579794228, 0.009618896524967816, 0.019067996813190664, 0.02169906611982517, 0.031428868336277574, 0.01364300807094111]",M5,intraday_ret,3,True,
