account_balance,atr_value,risk_pct,sl_atr_multiplier,lots,effective_atr,sl_distance,realised_risk_usd,realised_risk_pct,budget_usd,over_budget
100.0,0.001,0.005,1.0,0.05,0.1,0.1,0.5,0.005,0.5,False
100.0,0.001,0.005,1.5,0.03,0.1,0.15000000000000002,0.45000000000000007,0.0045000000000000005,0.5,False
100.0,0.001,0.005,3.0,0.01,0.1,0.30000000000000004,0.30000000000000004,0.0030000000000000005,0.5,False
100.0,0.001,0.005,10.0,0.01,0.1,1.0,1.0,0.01,0.5,True
100.0,0.001,0.02,1.0,0.1,0.1,0.1,1.0,0.01,2.0,False
100.0,0.001,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,2.0,False
100.0,0.001,0.02,3.0,0.06,0.1,0.30000000000000004,1.8000000000000003,0.018000000000000002,2.0,False
100.0,0.001,0.02,10.0,0.02,0.1,1.0,2.0,0.02,2.0,False
100.0,0.001,0.05,1.0,0.1,0.1,0.1,1.0,0.01,5.0,False
100.0,0.001,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,5.0,False
100.0,0.001,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.030000000000000006,5.0,False
100.0,0.001,0.05,10.0,0.05,0.1,1.0,5.0,0.05,5.0,False
100.0,0.05,0.005,1.0,0.05,0.1,0.1,0.5,0.005,0.5,False
100.0,0.05,0.005,1.5,0.03,0.1,0.15000000000000002,0.45000000000000007,0.0045000000000000005,0.5,False
100.0,0.05,0.005,3.0,0.01,0.1,0.30000000000000004,0.30000000000000004,0.0030000000000000005,0.5,False
100.0,0.05,0.005,10.0,0.01,0.1,1.0,1.0,0.01,0.5,True
100.0,0.05,0.02,1.0,0.1,0.1,0.1,1.0,0.01,2.0,False
100.0,0.05,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,2.0,False
100.0,0.05,0.02,3.0,0.06,0.1,0.30000000000000004,1.8000000000000003,0.018000000000000002,2.0,False
100.0,0.05,0.02,10.0,0.02,0.1,1.0,2.0,0.02,2.0,False
100.0,0.05,0.05,1.0,0.1,0.1,0.1,1.0,0.01,5.0,False
100.0,0.05,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,5.0,False
100.0,0.05,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.030000000000000006,5.0,False
100.0,0.05,0.05,10.0,0.05,0.1,1.0,5.0,0.05,5.0,False
100.0,0.1,0.005,1.0,0.05,0.1,0.1,0.5,0.005,0.5,False
100.0,0.1,0.005,1.5,0.03,0.1,0.15000000000000002,0.45000000000000007,0.0045000000000000005,0.5,False
100.0,0.1,0.005,3.0,0.01,0.1,0.30000000000000004,0.30000000000000004,0.0030000000000000005,0.5,False
100.0,0.1,0.005,10.0,0.01,0.1,1.0,1.0,0.01,0.5,True
100.0,0.1,0.02,1.0,0.1,0.1,0.1,1.0,0.01,2.0,False
100.0,0.1,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,2.0,False
100.0,0.1,0.02,3.0,0.06,0.1,0.30000000000000004,1.8000000000000003,0.018000000000000002,2.0,False
100.0,0.1,0.02,10.0,0.02,0.1,1.0,2.0,0.02,2.0,False
100.0,0.1,0.05,1.0,0.1,0.1,0.1,1.0,0.01,5.0,False
100.0,0.1,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.015000000000000003,5.0,False
100.0,0.1,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.030000000000000006,5.0,False
100.0,0.1,0.05,10.0,0.05,0.1,1.0,5.0,0.05,5.0,False
100.0,0.5,0.005,1.0,0.01,0.5,0.5,0.5,0.005,0.5,False
100.0,0.5,0.005,1.5,0.01,0.5,0.75,0.75,0.0075,0.5,True
100.0,0.5,0.005,3.0,0.01,0.5,1.5,1.5,0.015,0.5,True
100.0,0.5,0.005,10.0,0.01,0.5,5.0,5.0,0.05,0.5,True
100.0,0.5,0.02,1.0,0.04,0.5,0.5,2.0,0.02,2.0,False
100.0,0.5,0.02,1.5,0.02,0.5,0.75,1.5,0.015,2.0,False
100.0,0.5,0.02,3.0,0.01,0.5,1.5,1.5,0.015,2.0,False
100.0,0.5,0.02,10.0,0.01,0.5,5.0,5.0,0.05,2.0,True
100.0,0.5,0.05,1.0,0.1,0.5,0.5,5.0,0.05,5.0,False
100.0,0.5,0.05,1.5,0.06,0.5,0.75,4.5,0.045,5.0,False
100.0,0.5,0.05,3.0,0.03,0.5,1.5,4.5,0.045,5.0,False
100.0,0.5,0.05,10.0,0.01,0.5,5.0,5.0,0.05,5.0,False
100.0,5.0,0.005,1.0,0.01,5.0,5.0,5.0,0.05,0.5,True
100.0,5.0,0.005,1.5,0.01,5.0,7.5,7.5,0.075,0.5,True
100.0,5.0,0.005,3.0,0.01,5.0,15.0,15.0,0.15,0.5,True
100.0,5.0,0.005,10.0,0.01,5.0,50.0,50.0,0.5,0.5,True
100.0,5.0,0.02,1.0,0.01,5.0,5.0,5.0,0.05,2.0,True
100.0,5.0,0.02,1.5,0.01,5.0,7.5,7.5,0.075,2.0,True
100.0,5.0,0.02,3.0,0.01,5.0,15.0,15.0,0.15,2.0,True
100.0,5.0,0.02,10.0,0.01,5.0,50.0,50.0,0.5,2.0,True
100.0,5.0,0.05,1.0,0.01,5.0,5.0,5.0,0.05,5.0,False
100.0,5.0,0.05,1.5,0.01,5.0,7.5,7.5,0.075,5.0,True
100.0,5.0,0.05,3.0,0.01,5.0,15.0,15.0,0.15,5.0,True
100.0,5.0,0.05,10.0,0.01,5.0,50.0,50.0,0.5,5.0,True
100.0,14.0,0.005,1.0,0.01,14.0,14.0,14.0,0.14,0.5,True
100.0,14.0,0.005,1.5,0.01,14.0,21.0,21.0,0.21,0.5,True
100.0,14.0,0.005,3.0,0.01,14.0,42.0,42.0,0.42,0.5,True
100.0,14.0,0.005,10.0,0.01,14.0,140.0,140.0,1.4,0.5,True
100.0,14.0,0.02,1.0,0.01,14.0,14.0,14.0,0.14,2.0,True
100.0,14.0,0.02,1.5,0.01,14.0,21.0,21.0,0.21,2.0,True
100.0,14.0,0.02,3.0,0.01,14.0,42.0,42.0,0.42,2.0,True
100.0,14.0,0.02,10.0,0.01,14.0,140.0,140.0,1.4,2.0,True
100.0,14.0,0.05,1.0,0.01,14.0,14.0,14.0,0.14,5.0,True
100.0,14.0,0.05,1.5,0.01,14.0,21.0,21.0,0.21,5.0,True
100.0,14.0,0.05,3.0,0.01,14.0,42.0,42.0,0.42,5.0,True
100.0,14.0,0.05,10.0,0.01,14.0,140.0,140.0,1.4,5.0,True
100.0,22.0,0.005,1.0,0.01,22.0,22.0,22.0,0.22,0.5,True
100.0,22.0,0.005,1.5,0.01,22.0,33.0,33.0,0.33,0.5,True
100.0,22.0,0.005,3.0,0.01,22.0,66.0,66.0,0.66,0.5,True
100.0,22.0,0.005,10.0,0.01,22.0,220.0,220.0,2.2,0.5,True
100.0,22.0,0.02,1.0,0.01,22.0,22.0,22.0,0.22,2.0,True
100.0,22.0,0.02,1.5,0.01,22.0,33.0,33.0,0.33,2.0,True
100.0,22.0,0.02,3.0,0.01,22.0,66.0,66.0,0.66,2.0,True
100.0,22.0,0.02,10.0,0.01,22.0,220.0,220.0,2.2,2.0,True
100.0,22.0,0.05,1.0,0.01,22.0,22.0,22.0,0.22,5.0,True
100.0,22.0,0.05,1.5,0.01,22.0,33.0,33.0,0.33,5.0,True
100.0,22.0,0.05,3.0,0.01,22.0,66.0,66.0,0.66,5.0,True
100.0,22.0,0.05,10.0,0.01,22.0,220.0,220.0,2.2,5.0,True
100.0,60.0,0.005,1.0,0.01,60.0,60.0,60.0,0.6,0.5,True
100.0,60.0,0.005,1.5,0.01,60.0,90.0,90.0,0.9,0.5,True
100.0,60.0,0.005,3.0,0.01,60.0,180.0,180.0,1.8,0.5,True
100.0,60.0,0.005,10.0,0.01,60.0,600.0,600.0,6.0,0.5,True
100.0,60.0,0.02,1.0,0.01,60.0,60.0,60.0,0.6,2.0,True
100.0,60.0,0.02,1.5,0.01,60.0,90.0,90.0,0.9,2.0,True
100.0,60.0,0.02,3.0,0.01,60.0,180.0,180.0,1.8,2.0,True
100.0,60.0,0.02,10.0,0.01,60.0,600.0,600.0,6.0,2.0,True
100.0,60.0,0.05,1.0,0.01,60.0,60.0,60.0,0.6,5.0,True
100.0,60.0,0.05,1.5,0.01,60.0,90.0,90.0,0.9,5.0,True
100.0,60.0,0.05,3.0,0.01,60.0,180.0,180.0,1.8,5.0,True
100.0,60.0,0.05,10.0,0.01,60.0,600.0,600.0,6.0,5.0,True
500.0,0.001,0.005,1.0,0.1,0.1,0.1,1.0,0.002,2.5,False
500.0,0.001,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,2.5,False
500.0,0.001,0.005,3.0,0.08,0.1,0.30000000000000004,2.4000000000000004,0.0048000000000000004,2.5,False
500.0,0.001,0.005,10.0,0.02,0.1,1.0,2.0,0.004,2.5,False
500.0,0.001,0.02,1.0,0.1,0.1,0.1,1.0,0.002,10.0,False
500.0,0.001,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,10.0,False
500.0,0.001,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,10.0,False
500.0,0.001,0.02,10.0,0.1,0.1,1.0,10.0,0.02,10.0,False
500.0,0.001,0.05,1.0,0.1,0.1,0.1,1.0,0.002,25.0,False
500.0,0.001,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,25.0,False
500.0,0.001,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,25.0,False
500.0,0.001,0.05,10.0,0.1,0.1,1.0,10.0,0.02,25.0,False
500.0,0.05,0.005,1.0,0.1,0.1,0.1,1.0,0.002,2.5,False
500.0,0.05,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,2.5,False
500.0,0.05,0.005,3.0,0.08,0.1,0.30000000000000004,2.4000000000000004,0.0048000000000000004,2.5,False
500.0,0.05,0.005,10.0,0.02,0.1,1.0,2.0,0.004,2.5,False
500.0,0.05,0.02,1.0,0.1,0.1,0.1,1.0,0.002,10.0,False
500.0,0.05,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,10.0,False
500.0,0.05,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,10.0,False
500.0,0.05,0.02,10.0,0.1,0.1,1.0,10.0,0.02,10.0,False
500.0,0.05,0.05,1.0,0.1,0.1,0.1,1.0,0.002,25.0,False
500.0,0.05,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,25.0,False
500.0,0.05,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,25.0,False
500.0,0.05,0.05,10.0,0.1,0.1,1.0,10.0,0.02,25.0,False
500.0,0.1,0.005,1.0,0.1,0.1,0.1,1.0,0.002,2.5,False
500.0,0.1,0.005,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,2.5,False
500.0,0.1,0.005,3.0,0.08,0.1,0.30000000000000004,2.4000000000000004,0.0048000000000000004,2.5,False
500.0,0.1,0.005,10.0,0.02,0.1,1.0,2.0,0.004,2.5,False
500.0,0.1,0.02,1.0,0.1,0.1,0.1,1.0,0.002,10.0,False
500.0,0.1,0.02,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,10.0,False
500.0,0.1,0.02,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,10.0,False
500.0,0.1,0.02,10.0,0.1,0.1,1.0,10.0,0.02,10.0,False
500.0,0.1,0.05,1.0,0.1,0.1,0.1,1.0,0.002,25.0,False
500.0,0.1,0.05,1.5,0.1,0.1,0.15000000000000002,1.5000000000000002,0.0030000000000000005,25.0,False
500.0,0.1,0.05,3.0,0.1,0.1,0.30000000000000004,3.0000000000000004,0.006000000000000001,25.0,False
500.0,0.1,0.05,10.0,0.1,0.1,1.0,10.0,0.02,25.0,False
500.0,0.5,0.005,1.0,0.05,0.5,0.5,2.5,0.005,2.5,False
500.0,0.5,0.005,1.5,0.03,0.5,0.75,2.25,0.0045,2.5,False
500.0,0.5,0.005,3.0,0.01,0.5,1.5,1.5,0.003,2.5,False
500.0,0.5,0.005,10.0,0.01,0.5,5.0,5.0,0.01,2.5,True
500.0,0.5,0.02,1.0,0.1,0.5,0.5,5.0,0.01,10.0,False
500.0,0.5,0.02,1.5,0.1,0.5,0.75,7.5,0.015,10.0,False
500.0,0.5,0.02,3.0,0.06,0.5,1.5,9.0,0.018,10.0,False
500.0,0.5,0.02,10.0,0.02,0.5,5.0,10.0,0.02,10.0,False
500.0,0.5,0.05,1.0,0.1,0.5,0.5,5.0,0.01,25.0,False
500.0,0.5,0.05,1.5,0.1,0.5,0.75,7.5,0.015,25.0,False
500.0,0.5,0.05,3.0,0.1,0.5,1.5,15.0,0.03,25.0,False
500.0,0.5,0.05,10.0,0.05,0.5,5.0,25.0,0.05,25.0,False
500.0,5.0,0.005,1.0,0.01,5.0,5.0,5.0,0.01,2.5,True
500.0,5.0,0.005,1.5,0.01,5.0,7.5,7.5,0.015,2.5,True
500.0,5.0,0.005,3.0,0.01,5.0,15.0,15.0,0.03,2.5,True
500.0,5.0,0.005,10.0,0.01,5.0,50.0,50.0,0.1,2.5,True
500.0,5.0,0.02,1.0,0.02,5.0,5.0,10.0,0.02,10.0,False
500.0,5.0,0.02,1.5,0.01,5.0,7.5,7.5,0.015,10.0,False
500.0,5.0,0.02,3.0,0.01,5.0,15.0,15.0,0.03,10.0,True
500.0,5.0,0.02,10.0,0.01,5.0,50.0,50.0,0.1,10.0,True
500.0,5.0,0.05,1.0,0.05,5.0,5.0,25.0,0.05,25.0,False
500.0,5.0,0.05,1.5,0.03,5.0,7.5,22.5,0.045,25.0,False
500.0,5.0,0.05,3.0,0.01,5.0,15.0,15.0,0.03,25.0,False
500.0,5.0,0.05,10.0,0.01,5.0,50.0,50.0,0.1,25.0,True
500.0,14.0,0.005,1.0,0.01,14.0,14.0,14.0,0.028,2.5,True
500.0,14.0,0.005,1.5,0.01,14.0,21.0,21.0,0.042,2.5,True
500.0,14.0,0.005,3.0,0.01,14.0,42.0,42.0,0.084,2.5,True
500.0,14.0,0.005,10.0,0.01,14.0,140.0,140.0,0.28,2.5,True
500.0,14.0,0.02,1.0,0.01,14.0,14.0,14.0,0.028,10.0,True
500.0,14.0,0.02,1.5,0.01,14.0,21.0,21.0,0.042,10.0,True
500.0,14.0,0.02,3.0,0.01,14.0,42.0,42.0,0.084,10.0,True
500.0,14.0,0.02,10.0,0.01,14.0,140.0,140.0,0.28,10.0,True
500.0,14.0,0.05,1.0,0.01,14.0,14.0,14.0,0.028,25.0,False
500.0,14.0,0.05,1.5,0.01,14.0,21.0,21.0,0.042,25.0,False
500.0,14.0,0.05,3.0,0.01,14.0,42.0,42.0,0.084,25.0,True
500.0,14.0,0.05,10.0,0.01,14.0,140.0,140.0,0.28,25.0,True
500.0,22.0,0.005,1.0,0.01,22.0,22.0,22.0,0.044,2.5,True
500.0,22.0,0.005,1.5,0.01,22.0,33.0,33.0,0.066,2.5,True
500.0,22.0,0.005,3.0,0.01,22.0,66.0,66.0,0.132,2.5,True
500.0,22.0,0.005,10.0,0.01,22.0,220.0,220.0,0.44,2.5,True
500.0,22.0,0.02,1.0,0.01,22.0,22.0,22.0,0.044,10.0,True
500.0,22.0,0.02,1.5,0.01,22.0,33.0,33.0,0.066,10.0,True
500.0,22.0,0.02,3.0,0.01,22.0,66.0,66.0,0.132,10.0,True
500.0,22.0,0.02,10.0,0.01,22.0,220.0,220.0,0.44,10.0,True
500.0,22.0,0.05,1.0,0.01,22.0,22.0,22.0,0.044,25.0,False
500.0,22.0,0.05,1.5,0.01,22.0,33.0,33.0,0.066,25.0,True
500.0,22.0,0.05,3.0,0.01,22.0,66.0,66.0,0.132,25.0,True
500.0,22.0,0.05,10.0,0.01,22.0,220.0,220.0,0.44,25.0,True
500.0,60.0,0.005,1.0,0.01,60.0,60.0,60.0,0.12,2.5,True
