timeframe,atr_period,atr_mult,bias_tf,zlsma_len,direction,n_trades,sharpe_px,profit_factor,win_rate,max_dd_px,cagr_acct,max_dd_acct,calmar,exposure,null_mean,null_p95,p_value,null_median_realized,null_target,bh_sharpe,bh_cagr,bh_max_dd,bh_calmar
D1,14,1.5,none,0,long,245,0.5758269941596301,1.691998091775083,0.3551020408163265,0.2232022901523475,0.03717951022526611,0.09945563149700254,0.3738301156570169,0.5524484373022903,0.36998599249239256,0.6010624291403686,0.06,240,245,0.7496466655512931,0.1247628872919575,0.4464186066100204,0.27947510575191387
D1,20,1.5,W1,120,long,103,0.5560563643851834,2.355750492050486,0.34951456310679613,0.2110650951538131,0.029567398678296275,0.08761531555442681,0.3374683808555018,0.27065671264076935,0.2371845899283341,0.5519690983693779,0.044,102,103,0.7496466655512931,0.1247628872919575,0.4464186066100204,0.27947510575191387
D1,20,1.5,none,0,long,243,0.5478522871138752,1.7316851312446886,0.3168724279835391,0.27584775114676097,0.037910894102631154,0.1382669178536191,0.2741862962676784,0.5964823484752626,0.35265241005727116,0.557860850141649,0.062,242,243,0.7496466655512931,0.1247628872919575,0.4464186066100204,0.27947510575191387
H1,20,5.0,D1,20,long,355,0.8046070851999813,1.7359436988735024,0.4676056338028169,0.18622804598842568,0.037583627495566096,0.11572538522773446,0.32476562874779613,0.2160842047330765,0.03327077371132638,0.3590075623340222,0.0,363,355,0.7289157067007104,0.118841807886652,0.4524515964186814,0.2626619263305247
H1,10,5.0,D1,32,long,379,0.8011717432650265,1.7994903658924857,0.47229551451187335,0.19809143599922308,0.0436621301486495,0.12840595263127064,0.3400319786889419,0.22803331781042294,0.09774805069035765,0.37639904872397417,0.0,385,379,0.7289157067007104,0.118841807886652,0.4524515964186814,0.2626619263305247
H1,27,5.0,D1,20,long,343,0.7914357127828182,1.7416541792280815,0.45481049562682213,0.17147372121015225,0.03924416419856147,0.11251900999359232,0.34877807937339944,0.2171372930866602,0.12873171502574574,0.40729949362320605,0.0,349,343,0.7289157067007104,0.118841807886652,0.4524515964186814,0.2626619263305247
H4,8,2.0,none,0,long,890,0.8332716365219802,1.4945532797663634,0.4134831460674157,0.2380422334887664,0.07231733547333952,0.17497021896379605,0.4133122533744045,0.5171017671123107,0.2712814634355499,0.5119006295777804,0.0,882,890,0.7642826197578889,0.12480350483664893,0.45092553859025,0.27677187064371667
H4,10,2.5,none,0,long,653,0.7865655734818132,1.6030524081815953,0.41807044410413474,0.14771188072354324,0.06981780427565765,0.12331780276037518,0.5661615980242855,0.5316519758761756,0.39924863751906003,0.6014036640745586,0.0,626,653,0.7642826197578889,0.12480350483664893,0.45092553859025,0.27677187064371667
H4,8,2.0,W1,80,long,473,0.7829148604250916,1.6807089904782995,0.42071881606765327,0.18716804134491916,0.06531505123562309,0.17632030782236485,0.3704340812598014,0.2730589178018641,0.190344074587577,0.4743741920741231,0.002,468,473,0.7642826197578889,0.12480350483664893,0.45092553859025,0.27677187064371667
M15,27,5.0,D1,20,long,1940,0.6972164063557397,1.257134439307294,0.38144329896907214,0.14093367911740473,0.05548722123084948,0.10488548811555998,0.5290266768813162,0.2813961057001564,0.028781591962134916,0.292654746733971,0.0,1929,1940,0.722711337870001,0.11877423260877151,0.4545018882667057,0.2613283589683873
M15,27,5.0,H4,120,long,1619,0.6798521450462043,1.2772175949152385,0.390982087708462,0.11066368162614759,0.0537328501519192,0.1164719237112316,0.4613373630295559,0.23843921076793223,0.020179876942067874,0.3141703344482833,0.0,1628,1619,0.722711337870001,0.11877423260877151,0.4545018882667057,0.2613283589683873
M15,34,5.0,H4,120,long,1696,0.6352363885908471,1.2520107576662698,0.3738207547169811,0.13174105947643633,0.05020473232623579,0.14122983274749734,0.35548248800942833,0.24154290265308767,0.0326443854141056,0.32636307560066263,0.0,1701,1696,0.722711337870001,0.11877423260877151,0.4545018882667057,0.2613283589683873
